date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh),,
11-11-2021,22,21:45 - 22:00,5887.3,10882.1,5308.8,5308.8,2899.31,2899.31,,
11-11-2021,23,22:00 - 22:15,6033,10904.3,4993.5,4993.5,2709.63,2709.63,,
11-11-2021,23,22:15 - 22:30,5985.3,10847.4,4945.3,4945.3,2709.91,2709.91,,
11-11-2021,23,22:30 - 22:45,5985.6,11331,4946.5,4946.5,2709.62,2709.62,,
11-11-2021,23,22:45 - 23:00,5867.1,11298.9,4830.8,4830.8,2709.67,2709.67,,
11-11-2021,24,23:00 - 23:15,5542.6,11437.6,4549.3,4549.3,2624.66,2624.66,,
11-11-2021,24,23:15 - 23:30,5445.9,11083.6,4450.7,4450.7,2624.78,2624.78,,
11-11-2021,24,23:30 - 23:45,5445.5,11221.6,4448.9,4448.9,2624.47,2624.47,,
11-11-2021,24,23:45 - 24:00,5268,11146.7,4271.2,4271.2,2609.45,2609.45,,
12-11-2021,1,00:00 - 00:15,6165.1,10564.1,5124.5,5124.5,2692.7,2692.7,,
12-11-2021,1,00:15 - 00:30,6267.4,10925.1,5226.7,5226.7,2692.38,2692.38,,
12-11-2021,1,00:30 - 00:45,6301.9,11076,5261.3,5261.3,2692.32,2692.32,,
12-11-2021,1,00:45 - 01:00,6347.3,11389,5331.7,5331.7,2624.72,2624.72,,
12-11-2021,2,01:00 - 01:15,6340.5,11570.7,5342,5342,2624.02,2624.02,,
12-11-2021,2,01:15 - 01:30,6309.5,11813.6,5394.2,5394.2,2476.47,2476.47,,
12-11-2021,2,01:30 - 01:45,6252.6,12026.6,5340.7,5340.7,2430.91,2430.91,,
12-11-2021,2,01:45 - 02:00,6116,12132.6,5208.4,5208.4,2409.35,2409.35,,
12-11-2021,3,02:00 - 02:15,6029,12219.8,5142.5,5142.5,2409.07,2409.07,,
12-11-2021,3,02:15 - 02:30,6045,12310.8,5217,5217,2249.68,2249.68,,
12-11-2021,3,02:30 - 02:45,5954.8,12331.9,5196.4,5196.4,2194.07,2194.07,,
12-11-2021,3,02:45 - 03:00,5842.7,12477.7,5187.3,5187.3,2049.84,2049.84,,
12-11-2021,4,03:00 - 03:15,5751.1,12743,5321.5,5321.5,1999.84,1999.84,,
12-11-2021,4,03:15 - 03:30,5726.2,12739,5296.7,5296.7,1999.76,1999.76,,
12-11-2021,4,03:30 - 03:45,5698.5,12748,5269.4,5269.4,1999.64,1999.64,,
12-11-2021,4,03:45 - 04:00,5608.1,12708,5179.2,5179.2,1999.47,1999.47,,
12-11-2021,5,04:00 - 04:15,5556.1,12660.2,5117.5,5117.5,1999.36,1999.36,,
12-11-2021,5,04:15 - 04:30,5445.1,11993.5,5006.5,5006.5,1999.78,1999.78,,
12-11-2021,5,04:30 - 04:45,5446.5,11824.3,4998.8,4998.8,1999.82,1999.82,,
12-11-2021,5,04:45 - 05:00,5725.1,11461,4998.5,4998.5,2110.57,2110.57,,
12-11-2021,6,05:00 - 05:15,6471.7,10130.5,5276.1,5276.1,2809.81,2809.81,,
12-11-2021,6,05:15 - 05:30,6902.5,9756.3,5598.7,5598.7,3000.44,3000.44,,
12-11-2021,6,05:30 - 05:45,7388.1,9814.3,5907.2,5907.2,3038.51,3038.51,,
12-11-2021,6,05:45 - 06:00,7460.8,9704.2,5884.4,5884.4,3038.71,3038.71,,
12-11-2021,7,06:00 - 06:15,8313,9466.4,6655.3,6655.3,3748.74,3748.74,,
12-11-2021,7,06:15 - 06:30,9113.6,10099.1,7278.5,7278.5,3679.83,3679.83,,
12-11-2021,7,06:30 - 06:45,9853.7,10490.9,7819.8,7819.8,3679.76,3679.76,,
12-11-2021,7,06:45 - 07:00,10147.9,10808.4,8013.3,8013.3,3679.14,3679.14,,
12-11-2021,8,07:00 - 07:15,10638.5,10256.8,8170.8,8170.8,3849.07,3849.07,,
12-11-2021,8,07:15 - 07:30,11008.4,10013.2,8284.6,8284.6,4200.38,4200.38,,
12-11-2021,8,07:30 - 07:45,10514.1,10017.9,8141.8,8141.8,3900.97,3900.97,,
12-11-2021,8,07:45 - 08:00,10589.4,10221.9,8304.3,8304.3,3881.82,3881.82,,
12-11-2021,9,08:00 - 08:15,10411.3,10403.2,8433.99,8433.99,3621.1,3621.1,,
12-11-2021,9,08:15 - 08:30,10580.6,10441.5,8480.52,8480.52,3700.19,3700.19,,
12-11-2021,9,08:30 - 08:45,10886.2,10495.6,8655.7,8655.7,3987.75,3987.75,,
12-11-2021,9,08:45 - 09:00,10587.3,10482.1,8599.5,8599.5,3900.37,3900.37,,
12-11-2021,10,09:00 - 09:15,10937.3,10434.4,8581.92,8581.92,3977.17,3977.17,,
12-11-2021,10,09:15 - 09:30,10968.8,10513.3,8650.1,8650.1,3900.74,3900.74,,
12-11-2021,10,09:30 - 09:45,11145.7,10493.6,8675.6,8675.6,3987.76,3987.76,,
12-11-2021,10,09:45 - 10:00,11224.3,10512.7,8776.92,8776.92,4000.22,4000.22,,
12-11-2021,11,10:00 - 10:15,10457.5,10641.5,8521.36,8521.36,3500.04,3500.04,,
12-11-2021,11,10:15 - 10:30,10278.6,10621.7,8382.9,8382.9,3400.39,3400.39,,
12-11-2021,11,10:30 - 10:45,9938.3,10429.2,8049.6,8049.6,3351,3351,,
12-11-2021,11,10:45 - 11:00,9785.2,10218.8,7857.7,7857.7,3479.28,3479.28,,
12-11-2021,12,11:00 - 11:15,9118.9,10177.1,7445.6,7445.6,3350.11,3350.11,,
12-11-2021,12,11:15 - 11:30,9142.3,10182.1,7474.1,7474.1,3479.15,3479.15,,
12-11-2021,12,11:30 - 11:45,8693.1,10227,7124.5,7124.5,3100.8,3100.8,,
12-11-2021,12,11:45 - 12:00,8176.6,10363.9,6851,6851,3010.17,3010.17,,
12-11-2021,13,12:00 - 12:15,7738.6,10398,6812.6,6812.6,3000.4,3000.4,,
12-11-2021,13,12:15 - 12:30,7555.2,10455,6794.1,6794.1,2900.43,2900.43,,
12-11-2021,13,12:30 - 12:45,7235,10631.2,6779.5,6779.5,2779.5,2779.5,,
12-11-2021,13,12:45 - 13:00,6569,10743,6276.6,6276.6,2409.27,2409.27,,
12-11-2021,14,13:00 - 13:15,6262.4,11142.3,6060.1,6060.1,2188.05,2188.05,,
12-11-2021,14,13:15 - 13:30,6180.2,11231,5987.8,5987.8,2000.53,2000.53,,
